online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
Yes,Yes,4.2,484.5,JP Nagar,"Pub, Casual Dining","American, Chinese, Continental, North Indian",1175.0
Yes,No,3.7,0.0,Jayanagar,Bakery,"Bakery, Desserts",350.0
Yes,Yes,4.1,484.5,JP Nagar,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts",1000.0
Yes,No,3.6,42.0,Kanakapura Road,"Casual Dining, Bar","Chinese, North Indian, Mughlai",500.0
Yes,No,3.4,23.0,BTM,Delivery,Burger,300.0
Yes,No,3.6,4.0,JP Nagar,"Takeaway, Delivery","Mithai, Desserts",200.0
Yes,No,3.9,152.0,Kumaraswamy Layout,Quick Bites,"Fast Food, Chinese, Rolls",300.0
Yes,No,3.8,38.0,JP Nagar,Takeaway,"Street Food, Sandwich",150.0
Yes,Yes,3.9,484.5,Bannerghatta Road,Casual Dining,"Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",900.0
Yes,No,3.9,101.0,Bannerghatta Road,Dessert Parlor,"Ice Cream, Desserts",400.0
Yes,No,3.7,21.0,Jayanagar,Quick Bites,"Maharashtrian, Fast Food, Street Food, Sandwich",200.0
Yes,No,3.9,142.0,Bannerghatta Road,Beverage Shop,"Juices, Beverages",300.0
Yes,No,3.7,168.0,Bannerghatta Road,Quick Bites,"Mexican, American, Fast Food",600.0
Yes,No,3.7,111.0,Bannerghatta Road,Casual Dining,"Andhra, Biryani",800.0
Yes,No,3.8,484.5,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900.0
Yes,No,2.9000000000000004,321.0,JP Nagar,Quick Bites,"North Indian, Chinese, Fast Food, Rolls, Juices",400.0
Yes,No,3.8,184.0,BTM,Quick Bites,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400.0
Yes,No,4.0,206.0,JP Nagar,Delivery,"North Indian, Biryani",450.0
Yes,No,3.7,84.0,Bannerghatta Road,Quick Bites,"North Indian, Fast Food",500.0
Yes,No,3.4,22.0,Bannerghatta Road,"Takeaway, Delivery",Fast Food,300.0
Yes,No,3.4,17.0,Jayanagar,Quick Bites,Biryani,100.0
Yes,No,4.0,166.0,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0
Yes,No,3.1,8.0,JP Nagar,"Takeaway, Delivery","Kebab, Rolls, Charcoal Chicken",400.0
Yes,Yes,3.9,484.5,BTM,Cafe,"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700.0
Yes,No,3.3,12.0,Kumaraswamy Layout,Quick Bites,"Chinese, Biryani",200.0
Yes,No,4.5,155.0,Jayanagar,Beverage Shop,"Beverages, Sandwich",300.0
Yes,No,3.7,484.5,JP Nagar,Casual Dining,"Bengali, Mughlai",650.0
Yes,No,3.8,151.0,Jayanagar,Dessert Parlor,"Desserts, Beverages",350.0
Yes,No,4.0,260.0,JP Nagar,Quick Bites,North Indian,300.0
Yes,No,3.5,221.0,BTM,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food, Chinese",400.0
Yes,No,3.6,21.0,Jayanagar,Quick Bites,"Fast Food, Burger",150.0
Yes,No,3.9,121.0,Bannerghatta Road,Quick Bites,"Biryani, South Indian",300.0
Yes,No,3.9,85.0,JP Nagar,Quick Bites,Rajasthani,300.0
Yes,No,3.5,11.0,JP Nagar,Quick Bites,"Rolls, Chinese",200.0
Yes,Yes,4.2,177.0,Jayanagar,Casual Dining,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800.0
Yes,No,3.9,50.0,Bannerghatta Road,Cafe,Cafe,600.0
Yes,No,3.8,31.0,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",300.0
Yes,No,4.3,484.5,JP Nagar,Quick Bites,"Chinese, Tibetan, Momos",300.0
Yes,No,3.7,328.0,BTM,"Takeaway, Delivery","North Indian, Biryani, Chinese",500.0
Yes,No,3.6,34.0,Bannerghatta Road,Quick Bites,Street Food,100.0
Yes,No,3.8,267.0,Bannerghatta Road,Delivery,"North Indian, Chinese, Biryani",400.0
Yes,No,4.0,36.0,BTM,"Dessert Parlor, Beverage Shop","Desserts, Beverages, Bakery, Ice Cream",300.0
Yes,No,4.1,339.0,Jayanagar,Quick Bites,"Chinese, Fast Food",300.0
Yes,No,3.9,128.0,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0
Yes,No,3.7,0.0,Jayanagar,Bakery,"Bakery, Desserts",500.0
Yes,No,4.1,306.0,Kumaraswamy Layout,Casual Dining,Italian,700.0
Yes,No,3.4,7.0,JP Nagar,"Takeaway, Delivery",Desserts,200.0
Yes,No,3.6,45.0,Bannerghatta Road,Kiosk,"Momos, Street Food, Fast Food, Tibetan, Chinese",200.0
Yes,No,3.9,73.0,Bannerghatta Road,"Takeaway, Delivery","South Indian, Kerala",400.0
Yes,No,4.0,108.0,Jayanagar,Quick Bites,"Burger, Sandwich, Beverages",500.0
Yes,No,3.6,15.0,BTM,Quick Bites,"North Indian, Chinese",250.0
Yes,Yes,4.3,484.5,JP Nagar,Microbrewery,"Continental, American",1175.0
Yes,No,3.9,42.0,Jayanagar,Quick Bites,"Pizza, South Indian, Healthy Food",500.0
Yes,No,3.0,82.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0
Yes,No,3.7,34.0,Bannerghatta Road,Bakery,"Bakery, Desserts",500.0
Yes,No,3.6,14.0,Bannerghatta Road,"Takeaway, Delivery","Fast Food, Street Food",200.0
Yes,No,3.7,0.0,JP Nagar,"Takeaway, Delivery",North Indian,350.0
Yes,No,4.1,53.0,JP Nagar,Cafe,"Cafe, Sandwich, Burger",600.0
Yes,No,3.2,18.0,JP Nagar,"Bakery, Quick Bites","Bakery, Desserts, Fast Food",300.0
Yes,No,3.0,9.0,Kumaraswamy Layout,Quick Bites,"Fast Food, Momos",400.0
Yes,No,3.7,0.0,Bannerghatta Road,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600.0
Yes,No,3.7,32.0,Bannerghatta Road,Quick Bites,South Indian,300.0
Yes,No,3.6,11.0,BTM,Beverage Shop,Juices,200.0
Yes,No,3.5,7.0,JP Nagar,Quick Bites,"Street Food, Sandwich, Rolls, Beverages",200.0
Yes,No,3.7,28.0,Jayanagar,"Bakery, Quick Bites","Bakery, Fast Food, Desserts, Beverages",200.0
Yes,No,3.3,5.0,Kumaraswamy Layout,Quick Bites,"Momos, Tibetan, Chinese",200.0
Yes,No,3.1,43.0,Bannerghatta Road,Quick Bites,"Fast Food, Bengali",500.0
Yes,No,3.3,5.0,JP Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food",200.0
Yes,No,3.8,10.0,BTM,Bakery,"Bakery, Desserts, Beverages",450.0
Yes,No,3.0,122.0,Bannerghatta Road,Casual Dining,"Chinese, Thai, Momos",500.0
Yes,No,3.6,25.0,Kanakapura Road,Casual Dining,"North Indian, Andhra, Chinese",500.0
Yes,No,3.6,33.0,JP Nagar,Quick Bites,Fast Food,200.0
Yes,No,3.9,349.0,JP Nagar,Casual Dining,"Chinese, Thai, Momos",600.0
Yes,No,3.7,0.0,JP Nagar,Delivery,"Sandwich, Beverages",400.0
Yes,No,3.8,69.0,Jayanagar,Quick Bites,"North Indian, Street Food",200.0
Yes,No,3.7,0.0,Bannerghatta Road,Quick Bites,"Chinese, North Indian, Biryani, Arabian",400.0
Yes,No,3.5,47.0,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese",300.0
Yes,No,3.0,10.0,JP Nagar,Quick Bites,"Andhra, Hyderabadi, North Indian",300.0
Yes,No,3.4,277.0,BTM,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250.0
Yes,No,3.7,82.0,JP Nagar,Quick Bites,"South Indian, Andhra",400.0
Yes,No,3.6,47.0,Jayanagar,"Takeaway, Delivery",North Indian,100.0
Yes,Yes,4.1,484.5,BTM,"Casual Dining, Bar","Asian, Continental, Finger Food",1175.0
Yes,No,4.0,258.0,Bannerghatta Road,Quick Bites,"Burger, Fast Food",500.0
Yes,No,3.8,11.0,BTM,Beverage Shop,"Beverages, Juices",150.0
Yes,No,3.5,13.0,BTM,Takeaway,Juices,100.0
Yes,No,3.6,241.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0
Yes,No,3.6,11.0,BTM,Beverage Shop,"Ice Cream, Juices, Beverages",200.0
Yes,No,3.8,23.0,BTM,Quick Bites,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300.0
Yes,No,3.6,64.0,BTM,Quick Bites,Kerala,350.0
Yes,No,3.8,367.0,BTM,Casual Dining,North Indian,600.0
Yes,No,3.0,348.0,Bannerghatta Road,Quick Bites,"Pizza, Fast Food",400.0
Yes,No,3.3,15.0,Bannerghatta Road,Quick Bites,Fast Food,350.0
Yes,No,3.7,0.0,BTM,Quick Bites,Fast Food,250.0
Yes,No,3.7,0.0,JP Nagar,Delivery,"South Indian, North Indian, Beverages",500.0
Yes,No,3.3,4.0,Bannerghatta Road,Food Court,"Street Food, North Indian",300.0
Yes,No,3.9,37.0,JP Nagar,Quick Bites,"Continental, Sandwich, Burger, Italian, Salad, Pizza",400.0
Yes,No,3.1,89.0,BTM,Quick Bites,"North Indian, Momos, Rolls, Fast Food",350.0
Yes,No,3.1,42.0,BTM,Quick Bites,"North Indian, Biryani, Mughlai, Kebab",800.0
Yes,No,4.3,484.5,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0
Yes,Yes,4.1,484.5,Jayanagar,"Casual Dining, Bar","Italian, Fast Food, Salad, BBQ",1175.0
Yes,No,4.1,206.0,JP Nagar,"Quick Bites, Cafe","Cafe, Burger, Beverages",650.0
Yes,No,3.7,0.0,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",300.0
Yes,No,3.7,37.0,JP Nagar,Delivery,"Biryani, North Indian",600.0
Yes,No,3.6,8.0,JP Nagar,Quick Bites,South Indian,300.0
Yes,No,3.9,212.0,Jayanagar,Casual Dining,"Healthy Food, Beverages, Fast Food",500.0
Yes,No,3.7,0.0,Bannerghatta Road,Dessert Parlor,"Desserts, Mithai",300.0
Yes,No,3.7,11.0,Bannerghatta Road,Quick Bites,Continental,250.0
Yes,No,3.2,36.0,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200.0
Yes,No,4.2,289.0,Bannerghatta Road,Quick Bites,"American, Burger, Fast Food",400.0
Yes,No,4.4,484.5,Bannerghatta Road,Kiosk,"Desserts, Belgian, Beverages",500.0
Yes,No,4.2,170.0,JP Nagar,Cafe,"Cafe, Beverages, Desserts",600.0
Yes,No,3.7,28.0,Bannerghatta Road,Cafe,"Cafe, Fast Food",900.0
Yes,No,3.9,135.0,Jayanagar,Quick Bites,"Fast Food, Rolls",350.0
Yes,No,3.4,64.0,Bannerghatta Road,Quick Bites,North Indian,200.0
Yes,No,3.7,0.0,Kumaraswamy Layout,Casual Dining,Biryani,400.0
Yes,Yes,4.4,484.5,Bannerghatta Road,"Casual Dining, Bar","Continental, North Indian, Pizza, Italian",1175.0
Yes,No,3.9,52.0,Jayanagar,Quick Bites,"South Indian, North Indian",200.0
Yes,No,3.7,0.0,BTM,Delivery,Beverages,300.0
Yes,No,3.7,54.0,Jayanagar,Quick Bites,"Arabian, Rolls, North Indian, BBQ",400.0
Yes,No,3.3,4.0,JP Nagar,Delivery,"Healthy Food, Beverages",600.0
Yes,No,3.3,9.0,Bannerghatta Road,Delivery,"Burger, Sandwich, Finger Food",300.0
Yes,No,3.9,92.0,Jayanagar,Quick Bites,"Beverages, Street Food",200.0
Yes,No,3.7,0.0,Bannerghatta Road,Quick Bites,"Momos, Fast Food",200.0
Yes,No,4.1,91.0,JP Nagar,Bakery,"Bakery, Desserts",500.0
Yes,No,3.3,6.0,Bannerghatta Road,Food Court,"Rolls, Lebanese",250.0
Yes,No,3.7,0.0,Koramangala 8th Block,Quick Bites,Biryani,200.0
Yes,No,3.8,46.0,JP Nagar,Quick Bites,Pizza,450.0
Yes,No,3.9,386.0,JP Nagar,Quick Bites,"Pizza, Italian",600.0
Yes,No,3.7,27.0,BTM,Beverage Shop,"Beverages, Juices",100.0
Yes,No,2.9000000000000004,91.0,BTM,Quick Bites,"Tibetan, Momos",400.0
Yes,Yes,4.3,484.5,Jayanagar,"Casual Dining, Cafe","Healthy Food, Cafe, Beverages",800.0
Yes,No,3.6,26.0,Bannerghatta Road,Quick Bites,"Street Food, Fast Food",200.0
Yes,No,3.4,8.0,JP Nagar,Quick Bites,"Tamil, Fast Food",250.0
Yes,No,3.5,10.0,BTM,Quick Bites,"North Indian, Biryani",250.0
Yes,No,3.3,100.0,Bannerghatta Road,Quick Bites,"Fast Food, Burger",250.0
Yes,No,4.1,484.5,Jayanagar,Cafe,"Cafe, Fast Food, Beverages",400.0
Yes,No,4.2,309.0,BTM,Delivery,"Kerala, North Indian",600.0
Yes,No,4.0,484.5,JP Nagar,Casual Dining,"Continental, American",750.0
Yes,No,3.4,11.0,Jayanagar,Quick Bites,"Fast Food, Sandwich",300.0
Yes,Yes,3.7,205.0,Jayanagar,Pub,"Chinese, Continental, Burger, Pizza",1000.0
Yes,No,3.8,338.0,BTM,Casual Dining,"Andhra, North Indian, Biryani",800.0
Yes,No,3.8,46.0,JP Nagar,Cafe,"Burger, Cafe, Desserts, Sandwich, Italian",450.0
Yes,No,3.9,484.5,BTM,Casual Dining,North Indian,500.0
Yes,No,4.0,41.0,Bannerghatta Road,Food Court,"Cafe, Fast Food, Desserts, Beverages",400.0
Yes,No,3.8,156.0,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food",450.0
Yes,No,3.8,52.0,Kumaraswamy Layout,"Beverage Shop, Quick Bites","Beverages, Fast Food",400.0
Yes,No,3.3,90.0,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250.0
Yes,No,3.9,42.0,JP Nagar,Dessert Parlor,"Mithai, Street Food",250.0
Yes,No,3.3,117.0,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food, Rolls",250.0
Yes,No,3.7,0.0,JP Nagar,Delivery,"North Indian, Continental",500.0
Yes,No,3.6,60.0,Jayanagar,Quick Bites,"Biryani, South Indian",400.0
Yes,No,3.1,70.0,Bannerghatta Road,Quick Bites,"Biryani, Fast Food",250.0
Yes,No,3.6,13.0,JP Nagar,Beverage Shop,"Beverages, Juices, Healthy Food",250.0
Yes,No,3.1,320.0,JP Nagar,Casual Dining,"North Indian, Kebab, Biryani, Rolls",700.0
Yes,No,3.9,34.0,JP Nagar,Casual Dining,"Mangalorean, Seafood, North Indian",750.0
Yes,No,3.3,7.0,Bannerghatta Road,Sweet Shop,"Mithai, Desserts, Fast Food",300.0
Yes,No,3.1,17.0,Bannerghatta Road,Dessert Parlor,"Bakery, Desserts, Beverages",450.0
Yes,No,3.7,98.0,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0
Yes,No,3.7,48.0,BTM,Quick Bites,"Hyderabadi, North Indian",350.0
Yes,No,3.6,11.0,Bannerghatta Road,Dessert Parlor,Desserts,150.0
Yes,No,2.9000000000000004,23.0,Jayanagar,Sweet Shop,Mithai,250.0
Yes,No,3.7,16.0,Jayanagar,Quick Bites,South Indian,100.0
Yes,No,3.8,44.0,JP Nagar,Kiosk,"Street Food, Beverages, Gujarati",250.0
Yes,No,4.0,130.0,BTM,Dessert Parlor,Ice Cream,230.0
Yes,No,3.7,81.0,JP Nagar,Quick Bites,"Fast Food, Burger",500.0
Yes,No,4.1,140.0,JP Nagar,Quick Bites,South Indian,100.0
Yes,No,3.7,0.0,JP Nagar,Delivery,"Continental, North Indian, Desserts, Beverages",600.0
Yes,No,3.4,7.0,Banashankari,Quick Bites,"South Indian, North Indian",500.0
Yes,No,3.8,55.0,Jayanagar,Quick Bites,"Ice Cream, Beverages, Fast Food",250.0
Yes,No,4.0,204.0,BTM,"Cafe, Bakery","Cafe, Bakery",500.0
Yes,No,3.8,122.0,Bommanahalli,Delivery,Pizza,750.0
Yes,No,3.1,106.0,Bannerghatta Road,Casual Dining,"Chinese, North Indian",450.0
Yes,No,3.5,8.0,BTM,Dessert Parlor,Ice Cream,130.0
Yes,No,3.8,61.0,BTM,Quick Bites,"Bengali, North Indian, Chinese",300.0
Yes,No,3.7,0.0,JP Nagar,Delivery,North Indian,500.0
Yes,No,4.4,181.0,Jayanagar,Beverage Shop,"Beverages, Tea",250.0
Yes,No,3.1,25.0,Bannerghatta Road,"Takeaway, Delivery","Fast Food, Rolls",100.0
Yes,No,4.1,193.0,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",300.0
Yes,No,3.6,25.0,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",250.0
Yes,No,3.8,210.0,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Fast Food",600.0
Yes,No,3.7,0.0,BTM,Quick Bites,Asian,300.0
Yes,No,3.7,18.0,Kumaraswamy Layout,"Bakery, Quick Bites","Bakery, Fast Food",400.0
Yes,No,3.7,0.0,JP Nagar,Delivery,South Indian,600.0
Yes,No,2.9000000000000004,39.0,JP Nagar,Casual Dining,Chinese,1000.0
Yes,No,4.0,71.0,BTM,Dessert Parlor,"Desserts, Beverages",300.0
Yes,No,3.7,0.0,BTM,"Takeaway, Delivery",Beverages,350.0
Yes,No,3.7,37.0,JP Nagar,Casual Dining,"Asian, Continental, European",800.0
Yes,No,3.5,9.0,Kanakapura Road,Casual Dining,"Andhra, North Indian, Chinese",600.0
Yes,No,3.7,47.0,Jayanagar,"Quick Bites, Dessert Parlor","Fast Food, Desserts, Beverages",400.0
Yes,No,4.0,467.0,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food",600.0
Yes,No,4.4,359.0,Jayanagar,Dessert Parlor,"Desserts, Beverages",400.0
Yes,No,3.6,23.0,Bannerghatta Road,"Bakery, Quick Bites",Bakery,450.0
Yes,No,3.6,10.0,JP Nagar,Quick Bites,"Rajasthani, North Indian",200.0
Yes,No,3.9,99.0,Bannerghatta Road,Quick Bites,"South Indian, North Indian",300.0
Yes,No,3.0,6.0,Bannerghatta Road,"Food Court, Quick Bites","Mexican, Tex-Mex",400.0
Yes,No,3.7,0.0,JP Nagar,Bakery,"Desserts, Bakery",400.0
Yes,No,3.7,46.0,Bannerghatta Road,Casual Dining,"North Indian, South Indian, Chinese",600.0
Yes,No,3.7,0.0,JP Nagar,Delivery,Continental,500.0
Yes,Yes,4.2,484.5,JP Nagar,"Casual Dining, Bar","Chinese, Thai, Seafood, North Indian, Momos",1100.0
Yes,Yes,4.1,459.0,JP Nagar,Casual Dining,"Continental, Italian, American",700.0
Yes,No,3.7,41.0,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",150.0
Yes,Yes,4.1,446.0,Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza",1175.0
Yes,No,3.2,34.0,JP Nagar,Quick Bites,"Mithai, Street Food",150.0
Yes,Yes,4.1,484.5,JP Nagar,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese",1175.0
Yes,No,3.1,21.0,Bannerghatta Road,Food Court,"Tibetan, Momos",250.0
Yes,No,3.4,16.0,Bannerghatta Road,Beverage Shop,"Beverages, Ice Cream",150.0
Yes,No,3.4,5.0,BTM,"Quick Bites, Beverage Shop","Beverages, Fast Food",300.0
Yes,No,3.5,13.0,BTM,Quick Bites,Fast Food,300.0
Yes,No,3.1,6.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0
Yes,No,3.1,10.0,JP Nagar,Food Court,"South Indian, Biryani",500.0
Yes,No,3.4,9.0,BTM,Quick Bites,North Indian,250.0
Yes,No,3.4,14.0,BTM,Quick Bites,North Indian,300.0
Yes,No,3.6,19.0,Bannerghatta Road,Food Court,"Street Food, North Indian, Beverages",800.0
Yes,No,3.4,19.0,Bannerghatta Road,Sweet Shop,"Mithai, Street Food",250.0
Yes,No,3.5,80.0,Jayanagar,Casual Dining,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",750.0
Yes,No,3.7,0.0,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400.0
Yes,No,3.4,19.0,Kanakapura Road,Quick Bites,"South Indian, North Indian, Chinese",400.0
Yes,No,3.9,153.0,JP Nagar,Food Court,"Cafe, Desserts",400.0
Yes,No,4.2,249.0,BTM,"Dessert Parlor, Beverage Shop",Beverages,500.0
Yes,No,3.4,5.0,JP Nagar,Quick Bites,"Chinese, North Indian",300.0
Yes,No,2.9000000000000004,60.0,BTM,Cafe,Cafe,900.0
Yes,No,3.7,35.0,BTM,Quick Bites,"Kerala, Chinese",200.0
Yes,No,3.7,0.0,Bannerghatta Road,Quick Bites,"Chinese, North Indian",250.0
Yes,No,3.5,40.0,BTM,Casual Dining,"North Indian, South Indian",350.0
Yes,No,3.3,4.0,JP Nagar,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food, Rolls",200.0
Yes,No,4.1,232.0,JP Nagar,Casual Dining,"North Indian, Continental",1000.0
Yes,No,2.9000000000000004,51.0,BTM,"Takeaway, Delivery","Arabian, North Indian, Chinese",300.0
Yes,No,3.3,4.0,Kumaraswamy Layout,Beverage Shop,North Indian,100.0
Yes,No,3.7,0.0,BTM,Beverage Shop,"Beverages, Fast Food, Italian",400.0
Yes,Yes,4.3,484.5,Jayanagar,Cafe,"Cafe, Continental, Sandwich, Beverages",800.0
Yes,No,4.4,484.5,Jayanagar,"Beverage Shop, Quick Bites","Beverages, Fast Food",600.0
Yes,No,4.0,89.0,Jayanagar,Quick Bites,"South Indian, Beverages",200.0
Yes,No,3.6,27.0,JP Nagar,Casual Dining,"North Indian, Chinese",600.0
Yes,No,3.9,74.0,Jayanagar,Casual Dining,"Asian, Chinese, Continental, Italian",800.0
Yes,No,4.0,484.5,Jayanagar,Quick Bites,"North Indian, South Indian, Fast Food, Juices",200.0
Yes,No,3.7,0.0,JP Nagar,Cafe,"Cafe, Pizza, Fast Food",450.0
Yes,No,3.5,32.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0
Yes,No,4.1,484.5,JP Nagar,Casual Dining,"South Indian, Seafood, North Indian, Beverages",600.0
Yes,No,3.3,7.0,JP Nagar,"Takeaway, Delivery","Rolls, Juices",300.0
Yes,No,3.9,51.0,BTM,Beverage Shop,"Healthy Food, Juices",200.0
Yes,No,2.9000000000000004,165.0,Bannerghatta Road,Quick Bites,"Kerala, South Indian, North Indian",450.0
Yes,No,3.7,0.0,JP Nagar,Quick Bites,"Street Food, Juices",150.0
Yes,No,3.8,32.0,Bannerghatta Road,Kiosk,Street Food,200.0
Yes,No,3.7,0.0,Bannerghatta Road,Bakery,"Bakery, Desserts",400.0
Yes,No,4.2,265.0,Jayanagar,Cafe,"Cafe, Continental, Beverages",700.0
Yes,No,3.6,60.0,Kumaraswamy Layout,Casual Dining,North Indian,700.0
Yes,No,3.1,7.0,BTM,Quick Bites,"North Indian, Biryani, Chinese, Arabian",400.0
No,No,3.7,0.0,JP Nagar,Casual Dining,North Indian,1000.0
Yes,No,3.2,12.0,BTM,Quick Bites,"Tibetan, Momos",250.0
Yes,No,3.6,28.0,BTM,Dessert Parlor,"Ice Cream, Desserts",450.0
Yes,No,3.6,323.0,Bannerghatta Road,Food Court,"Pizza, Italian",800.0
Yes,No,4.1,30.0,Jayanagar,Beverage Shop,"Beverages, Tea",100.0
Yes,No,4.0,77.0,JP Nagar,Quick Bites,"Juices, Fast Food",150.0
Yes,No,3.5,51.0,Bannerghatta Road,Quick Bites,"Fast Food, Juices",200.0
Yes,No,3.7,0.0,South Bangalore,"Takeaway, Delivery",Biryani,400.0
Yes,No,2.9000000000000004,19.0,Jayanagar,Quick Bites,"Chinese, Thai, Momos",300.0
Yes,No,2.9000000000000004,85.0,JP Nagar,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0
Yes,No,3.7,72.0,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani",450.0
Yes,No,4.0,129.0,Jayanagar,Dessert Parlor,Desserts,300.0
Yes,No,3.0,36.0,BTM,Quick Bites,"North Indian, Chinese",200.0
Yes,No,3.8,484.5,BTM,Cafe,"Cafe, Italian, Mexican, Chinese",600.0
Yes,No,3.7,28.0,BTM,Delivery,"North Indian, Chinese, Continental",350.0
Yes,No,3.0,4.0,JP Nagar,"Takeaway, Delivery",Fast Food,300.0
Yes,No,3.7,0.0,JP Nagar,Dessert Parlor,"Ice Cream, Beverages",80.0
Yes,No,3.5,8.0,BTM,Beverage Shop,Beverages,200.0
Yes,No,3.9,247.0,Jayanagar,Cafe,"Cafe, Continental, Italian, Burger",400.0
Yes,No,3.2,7.0,JP Nagar,"Quick Bites, Beverage Shop","Bakery, Fast Food",150.0
Yes,No,3.9,484.5,JP Nagar,Bar,"North Indian, Chinese, Pizza, BBQ",1000.0
Yes,No,3.7,55.0,JP Nagar,Quick Bites,"South Indian, Street Food, Juices",200.0
Yes,No,4.0,137.0,Jayanagar,Quick Bites,"South Indian, Fast Food",350.0
Yes,No,3.8,77.0,Kumaraswamy Layout,Cafe,"Cafe, Continental, Fast Food",600.0
Yes,No,3.8,145.0,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0
Yes,No,3.9,410.0,JP Nagar,Casual Dining,"North Indian, Chinese",500.0
Yes,No,3.9,181.0,JP Nagar,Dessert Parlor,Desserts,400.0
Yes,No,3.1,8.0,JP Nagar,Takeaway,"Bakery, Desserts",500.0
Yes,No,3.7,0.0,Kumaraswamy Layout,Delivery,Chinese,600.0
Yes,No,3.8,171.0,JP Nagar,Quick Bites,North Indian,250.0
Yes,No,3.3,4.0,Bannerghatta Road,Delivery,"Tea, Beverages",200.0
Yes,No,3.7,0.0,Bommanahalli,Takeaway,Momos,200.0
Yes,No,3.9,14.0,Jayanagar,Casual Dining,"North Indian, South Indian",600.0
Yes,No,3.8,89.0,JP Nagar,Dessert Parlor,"Ice Cream, Desserts, Bakery",400.0
Yes,No,3.1,59.0,BTM,Quick Bites,"Bengali, Chinese, Rolls",400.0
No,Yes,4.1,484.5,JP Nagar,Cafe,"Cafe, Chinese, Continental, Italian",800.0
Yes,No,3.5,11.0,Jayanagar,Quick Bites,Fast Food,200.0
Yes,No,3.7,43.0,JP Nagar,Quick Bites,"North Indian, Chinese",500.0
Yes,No,3.2,7.0,BTM,Quick Bites,"Fast Food, Seafood",400.0
Yes,No,3.7,0.0,JP Nagar,Casual Dining,"Andhra, Biryani, Mughlai",800.0
Yes,Yes,3.7,0.0,JP Nagar,Casual Dining,"Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",800.0
Yes,No,3.3,13.0,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0
Yes,No,2.9000000000000004,42.0,BTM,Quick Bites,"North Indian, South Indian, Chinese, Fast Food",250.0
Yes,Yes,4.1,484.5,Jayanagar,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian",1175.0
Yes,No,3.7,0.0,BTM,Beverage Shop,Beverages,200.0
Yes,No,3.9,70.0,Banashankari,Dessert Parlor,"Fast Food, Desserts, Ice Cream",400.0
Yes,Yes,4.1,294.0,JP Nagar,Casual Dining,"Healthy Food, South Indian",500.0
Yes,No,3.4,6.0,BTM,Quick Bites,"North Indian, South Indian",300.0
Yes,No,3.7,37.0,BTM,Casual Dining,"Biryani, Chinese, Fast Food, North Indian",400.0
Yes,No,3.6,41.0,BTM,Delivery,Bakery,500.0
Yes,No,3.8,37.0,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",200.0
Yes,No,3.7,0.0,Bannerghatta Road,Quick Bites,"South Indian, Beverages",250.0
Yes,No,3.1,9.0,BTM,Quick Bites,Street Food,150.0
