online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
No,No,3.7,0.0,Banashankari,Confectionery,Desserts,200.0
No,No,3.7,0.0,Banashankari,"Quick Bites, Beverage Shop","Healthy Food, Juices, Sandwich",350.0
No,No,3.7,0.0,Banashankari,Quick Bites,"South Indian, Biryani",300.0
No,No,3.7,0.0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100.0
No,No,3.7,0.0,Banashankari,Quick Bites,"South Indian, Beverages",150.0
Yes,No,4.0,484.5,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0
No,No,3.0,98.0,Banashankari,Bar,"North Indian, Chinese",800.0
Yes,No,3.9,47.0,Basavanagudi,Quick Bites,South Indian,200.0
Yes,Yes,4.1,175.0,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0
Yes,No,3.8,58.0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0
Yes,No,3.8,484.5,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0
Yes,No,3.8,124.0,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0
Yes,No,4.1,340.0,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0
Yes,No,3.8,484.5,Banashankari,Quick Bites,"Burger, Fast Food",450.0
No,No,3.7,0.0,Banashankari,Quick Bites,Fast Food,100.0
Yes,No,4.1,438.0,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0
Yes,No,3.7,264.0,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0
Yes,No,3.9,169.0,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150.0
Yes,No,3.0,67.0,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0
Yes,No,3.7,97.0,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350.0
Yes,No,3.3,12.0,Basavanagudi,"Takeaway, Delivery",Biryani,300.0
Yes,No,3.3,12.0,Banashankari,Quick Bites,Biryani,300.0
Yes,No,3.6,195.0,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800.0
Yes,No,3.3,13.0,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0
Yes,No,4.5,228.0,Jayanagar,Cafe,"Cafe, Beverages",400.0
Yes,No,4.1,70.0,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0
Yes,Yes,4.1,364.0,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1175.0
Yes,No,3.7,107.0,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150.0
Yes,No,3.2,167.0,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0
Yes,No,4.0,115.0,Banashankari,Sweet Shop,"Mithai, Street Food",400.0
Yes,No,3.7,27.0,Banashankari,"Takeaway, Delivery","Italian, Pizza",400.0
Yes,No,3.5,57.0,Banashankari,Quick Bites,Biryani,200.0
Yes,No,3.8,120.0,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0
Yes,No,3.8,15.0,Basavanagudi,Bakery,Bakery,400.0
Yes,No,4.2,64.0,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0
Yes,No,3.6,66.0,Banashankari,Quick Bites,South Indian,150.0
Yes,No,3.0,290.0,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0
Yes,No,4.1,233.0,Basavanagudi,Quick Bites,Street Food,200.0
Yes,No,3.8,115.0,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250.0
Yes,No,3.1,119.0,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0
Yes,Yes,3.9,291.0,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0
Yes,No,4.5,155.0,Jayanagar,Beverage Shop,"Beverages, Sandwich",300.0
Yes,No,4.1,305.0,Kumaraswamy Layout,Casual Dining,Italian,700.0
Yes,No,3.6,46.0,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500.0
Yes,No,3.5,45.0,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350.0
Yes,No,3.9,38.0,Banashankari,Dessert Parlor,Ice Cream,150.0
